Index,parent_id,child_id
0,130084,134017
1,130084,7200085
2,152339,144997
5,700651,102664
6,700651,7204490
7,700651,144629
8,700635,102508
11,700648,141368
15,700654,708362
16,700654,7208213
17,700655,105766
18,700655,144634
19,700655,7200100
20,131751,7800314
21,131751,7200060
22,131751,7223953
23,701082,101698
25,701082,7229756
26,701082,7209870
27,704424,146513
30,704423,147176
31,704423,7219280
32,704423,7219281
33,704336,703231
34,704336,7201217
35,704813,704141
40,706841,102664
41,706841,7201972
42,706841,7204490
43,707114,142649
44,707114,7202049
45,707114,7202048
46,707457,153841
47,707457,7202581
48,706814,101091
49,706814,7202599
50,707456,153841
51,707456,7204142
52,707456,7202581
53,708200,141368
54,708200,7202681
55,709090,708335
56,709090,7203569
57,709090,7200008
58,704715,703247
61,704715,7203916
62,708578,130787
63,708578,7204540
64,709696,853420
65,709696,7233342
66,711004,700651
67,711004,7204848
68,711525,142553
69,711525,7205061
70,710833,147139
73,710834,852897
76,712274,711848
77,712274,7207172
78,713129,711613
79,713129,7207638
80,713129,7207635
81,714256,853420
82,714256,7233341
83,714257,856248
85,714257,7222053
86,715373,700073
88,715375,713513
90,717032,715028
91,717032,715029
104,717029,715255
105,717029,715257
118,717441,102028
119,717441,7212258
121,717441,7200008
122,717532,723267
123,717532,7214750
125,720700,719888
126,720700,7202650
127,720700,7216923
128,722484,717825
129,722484,7219798
130,722484,7219918
131,722484,7220281
132,722736,712639
133,722736,7220101
134,722736,7220022
135,722736,7220021
136,722736,7220023
137,722737,712644
138,722737,7220101
139,722737,7220022
140,722737,7220021
141,722737,7220023
142,722738,712649
143,722738,7220101
144,722738,7220022
145,722738,7220021
146,722738,7220023
147,722920,722626
148,722920,7220326
149,722920,7220327
150,722920,7220335
151,723960,717825
152,723960,7221357
153,724272,701123
154,724272,7222310
155,724272,7222321
156,725632,712646
157,725632,7222283
158,725632,7223898
159,725972,711848
160,725972,7233343
161,727266,701391
162,727266,7202622
163,920520,920434
164,920520,7229867
165,728518,714334
166,728518,7230142
167,728518,7230144
168,728414,725811
169,728414,7232989
170,920589,920427
171,920589,920434
172,920589,7234399
173,920588,920427
174,920588,7234400
175,920587,920527
176,920587,7229867
177,730730,730073
178,731748,701392
179,731748,7202622
189,735822,735643
190,735823,735644
191,735824,735645
