parent_id,child_id
130084,134017
130084,7200085
152339,144997
700651,102664
700651,7204490
700651,144629
700635,102508
700648,141368
700654,708362
700654,7208213
700655,105766
700655,144634
700655,7200100
131751,7800314
131751,7200060
131751,7223953
701082,101698
701082,7229756
701082,7209870
704424,146513
704423,147176
704423,7219280
704423,7219281
704336,703231
704336,7201217
704813,704141
706841,102664
706841,7201972
706841,7204490
707114,142649
707114,7202049
707114,7202048
707457,153841
707457,7202581
706814,101091
706814,7202599
707456,153841
707456,7204142
707456,7202581
708200,141368
708200,7202681
709090,708335
709090,7203569
709090,7200008
704715,703247
704715,7203916
708578,130787
708578,7204540
709696,853420
709696,7233342
711004,700651
711004,7204848
711525,142553
711525,7205061
710833,147139
710834,852897
712274,711848
712274,7207172
713129,711613
713129,7207638
713129,7207635
714256,853420
714256,7233341
714257,856248
714257,7222053
715373,700073
715375,713513
717032,715028
717032,715029
717029,715255
717029,715257
717441,102028
717441,7212258
717441,7200008
717532,723267
717532,7214750
720700,719888
720700,7202650
720700,7216923
722484,717825
722484,7219798
722484,7219918
722484,7220281
722736,712639
722736,7220101
722736,7220022
722736,7220021
722736,7220023
722737,712644
722737,7220101
722737,7220022
722737,7220021
722737,7220023
722738,712649
722738,7220101
722738,7220022
722738,7220021
722738,7220023
722920,722626
722920,7220326
722920,7220327
722920,7220335
723960,717825
723960,7221357
724272,701123
724272,7222310
724272,7222321
725632,712646
725632,7222283
725632,7223898
725972,711848
725972,7233343
727266,701391
727266,7202622
920520,920434
920520,7229867
728518,714334
728518,7230142
728518,7230144
728414,725811
728414,7232989
920589,920427
920589,920434
920589,7234399
920588,920427
920588,7234400
920587,920527
920587,7229867
730730,730073
731748,701392
731748,7202622
735822,735643
735823,735644
735824,735645
735384,700073
735384,7238860
735385,713513
735385,7238860
735268,723418
735268,7243720
735269,723385
735269,7243720
735926,729165
735926,7233342
740354,712882
740354,7239407
740353,729198
740353,7244482
740505,740198
740505,7239641
739986,719090
739986,7230145
747515,747423
744478,744132
744478,7241524
744479,744132
744479,7241238
745951,744132
745951,741998
745951,7241238
748601,742882
748601,7241238
7800066,7800056
7800103,7800100
7800105,7800101
7800107,7800052
7800111,7800137
7800112,7800138
7800113,7800136
7800114,7800137
7800115,7800138
7800116,7800119
7800117,7800118
7800120,7210485
7800121,7210484
7800126,7800164
7800142,7800141
7800159,7800156
7800163,7800162
7800165,7800073
7800166,7800073
7800167,7800164
7800175,7800201
7800177,7800084
7800180,7800163
7800180,7801605
7800180,7208217
7800184,7800181
7800185,7800182
7800186,7800183
7800192,7800203
7800194,150017
7800148,7800146
7800189,102081
7800190,100884
7800206,7800172
7800294,7800032
7800022,7800047
7800024,7800032
7800039,7800047
7800133,7800091
990613,7801759
7800346,7800055
7800303,7800164
7800132,7800132
7800085,7800085
7800304,7800353
7801539,7800054
7801606,7800164
7800139,7800164
7801789,7800145
7801869,7800032
7801935,7800032
7802188,7801733
7202858,7203086
7202858,7224187
7202859,7203086
7202859,7224188
7202860,7203171
7202860,7203440
7202860,7203222
7202860,7203340
7202860,7203408
7202861,7203172
7202861,7203440
7202861,7203223
7202861,7203340
7202861,7203409
7202864,7203087
7202864,7224454
7202865,7203087
7202865,7224453
7202866,7203089
7202866,7203211
7202866,7203216
7202867,7203090
7202867,7203211
7202867,7203216
7202872,7212493
7202872,7210692
7202872,7210486
7202873,7212462
7202873,7211940
7202873,7210486
7202874,7203099
7202874,7203444
7202874,7203412
7202874,7203207
7202874,7203215
7202875,7203099
7202875,7208959
7202875,7207961
7202875,7207976
7202876,7203100
7202876,7203444
7202876,7203413
7202876,7203207
7202876,7203215
7202877,7203100
7202877,7208959
7202877,7207963
7202877,7207977
7202878,7203101
7202878,7203444
7202878,7203414
7202878,7203207
7202878,7203215
7202879,7203101
7202879,7208959
7202879,7207964
7202879,7207978
7202880,7203096
7202880,7208450
7202880,7208449
7202880,7208451
7202881,7210766
7202882,7203179
7202882,7208455
7202882,7203235
7202883,7203180
7202883,7208455
7202883,7203236
7202884,7203098
7202884,7203447
7202884,7203237
7202884,7203351
7202886,7203107
7202886,7203415
7202886,7203448
7202886,7203207
7202886,7203215
7202887,7203107
7202887,7228071
7202891,7203175
7202891,7203239
7202891,7203449
7202892,7203108
7202892,7203452
7202892,7203240
7202892,7203203
7202897,7203109
7202897,7203452
7202897,7203242
7202897,7203203
7202898,7203110
7202898,7203453
7202898,7203243
7202898,7203353
7202904,7203156
7202904,7203207
7202904,7203213
7202904,7204579
7202904,7204598
7202905,7203156
7202905,7214753
7202907,7203157
7202907,7214752
7202983,7203181
7202983,7203246
7202984,7203182
7202984,7203247
7202985,7203183
7202985,7203248
7202915,7203111
7202915,7203207
7202915,7203215
7202916,7203111
7202916,7207727
7202916,7210447
7202916,7207706
7202917,7203112
7202917,7203207
7202917,7203215
7202918,7203112
7202918,7207709
7202918,7210447
7202918,7207730
7202923,505545
7202923,7203207
7202923,7203213
7202924,505545
7202924,7207770
7202924,7212394
7202926,7228516
7202926,7228302
7202931,7203119
7202931,7209094
7202931,7204888
7202932,7203120
7202932,7209094
7202932,7204891
7202963,7203110
7202963,7203462
7202963,7203260
7202934,594803
7202934,7208962
7202934,7210487
7202935,512559
7202935,7203207
7202935,7203215
7202936,7203123
7202936,7208497
7202936,7212366
7202937,7203124
7202937,7208498
7202937,7212366
7202938,7203125
7202938,7203212
7202938,7203219
7202939,7203125
7202939,7228081
7202939,7207837
7202940,7203137
7202940,7203469
7202940,7203423
7202940,7203212
7202940,7203219
7202941,7203137
7202941,7203469
7202941,7203267
7202942,7203139
7202942,7203469
7202942,7203424
7202942,7203212
7202942,7203219
7202943,7203139
7202943,7203469
7202943,7203268
7203176,7203108
7203177,7203109
7202944,7203127
7202944,7208604
7202944,7208603
7202944,7208605
7202947,7203128
7202947,7204934
7202947,7203270
7202947,7203371
7202948,7203129
7202948,7224455
7202957,7203176
7202957,7203272
7202957,7203476
7202962,7203177
7202962,7203273
7202962,7203476
7202950,7203130
7202998,7208688
7202998,7210987
7202998,7207838
7202999,7203132
7202999,7209502
7202999,7209504
7203000,7203133
7203000,7209503
7203000,7209504
7203001,7203134
7203001,7209501
7203001,7209504
7203002,7203135
7203002,7207791
7203002,7207792
7203003,7203142
7203003,7207668
7203003,7212273
7203003,7207840
7203004,7203126
7203004,7208072
7203004,7208058
7203005,7207895
7203005,7207831
7203005,7215264
7203006,7203136
7203006,7225358
7203008,7203138
7203008,7225359
7203009,7203140
7203009,7204958
7203009,7207331
7203010,7203141
7203010,7204958
7203010,7210972
7203012,7203144
7203012,7228313
7203012,7208495
7203014,7208980
7203014,7209771
7203014,7215208
7203014,7207841
7203013,7203131
7203013,7210684
7203028,7203146
7203028,7207543
7203028,7204603
7203031,7203187
7203031,7204963
7203031,7203301
7203032,7203188
7203032,7204963
7203032,7203302
7203034,7203147
7203034,7203492
7203034,7203303
7203034,7203390
7203035,7203148
7203035,7203492
7203035,7203304
7203035,7203391
7203036,7203102
7203036,7214016
7203036,7208400
7203037,7203103
7203037,7214016
7203037,7208401
7203038,7203104
7203038,7208402
7203038,7214016
7203039,7203152
7203039,7203496
7203039,7204961
7203039,7203395
7203040,7203152
7203040,7203496
7203040,7204960
7203040,7203395
7203041,7203152
7203041,7203970
7203041,7203310
7203042,7203189
7203042,7203311
7203042,7203497
7203043,7214070
7203043,7212566
7203043,7212565
7203043,7214028
7203044,7203495
7203044,7203191
7203044,7203313
7203044,7203341
7202956,7203096
7202956,7214073
7203048,7204943
7203048,7203315
7203048,7220614
7203049,7204944
7203049,7203316
7203049,7220614
7203052,7203158
7203052,7203427
7203052,7203500
7203052,7203208
7203052,7203217
7203053,7208737
7203053,7207747
7203053,7208181
7203054,7203159
7203054,7203428
7203054,7203500
7203054,7203208
7203054,7203217
7203055,7208738
7203055,7207750
7203055,7208181
7203056,7203160
7203056,7203429
7203056,7203500
7203056,7203208
7203056,7203217
7203057,7208725
7203057,7207751
7203057,7208181
7203058,7203161
7203058,7203430
7203058,7203500
7203058,7203208
7203058,7203217
7203059,7208739
7203059,7207745
7203059,7208181
7203060,7203162
7203060,7203431
7203060,7203500
7203060,7203208
7203060,7203217
7203061,7208740
7203061,7207753
7203061,7208181
7202976,7203197
7202976,7203322
7202976,7203501
7202977,7203198
7202977,7203323
7202977,7203501
7202978,7203199
7202978,7203324
7202978,7203501
7202979,7203200
7202979,7203325
7202979,7203501
7202980,7203201
7202980,7203326
7202980,7203501
7203062,7203163
7203062,7207606
7203062,7207604
7203062,7207842
7203063,7203164
7203063,7207605
7203063,7207604
7203066,7203105
7203066,7203207
7203066,7203213
7203067,7203105
7203067,7208723
7203067,7204604
7203068,7203106
7203068,7212461
7203068,7207529
7203069,7203165
7203069,7203472
7203069,7203331
7203069,7203404
7203070,7203166
7203070,7203207
7203070,7203215
7203070,7204584
7203070,7204583
7203071,7203166
7203071,7204605
7203071,7219878
7203072,7203167
7203072,7203506
7203072,7203434
7203072,7203207
7203072,7203213
7203073,7203333
7203073,7203508
7203073,7203202
7203074,7203168
7203074,7203507
7203074,7203435
7203074,7203207
7203074,7203213
7203075,7203168
7203075,7208489
7203075,7207573
7203076,7203169
7203076,7203507
7203076,7203436
7203076,7203207
7203076,7203213
7203077,7203169
7203077,7207603
7203077,7208489
7203078,7203170
7203078,7203507
7203078,7203437
7203078,7203207
7203078,7203213
7203079,7203170
7203079,7207602
7203079,7208489
7203082,7203091
7203082,7207820
7203082,7209867
7203083,7203092
7203083,7207821
7203083,7209867
7203084,7203093
7203084,7207822
7203084,7209867
7203085,7203094
7203085,7203210
7203085,7203216
7203030,7203029
7203030,7203300
7202914,7203111
7202914,7203456
7202914,7203249
7202914,7203354
7203895,7203576
7203895,7210140
7203895,7207833
7203897,7203576
7203897,7210140
7203897,7207835
7203896,7203576
7203896,7210140
7203896,7207834
7204018,7800416
7204018,7203961
7204018,7203957
7204019,7800417
7204019,7203958
7204019,7203961
7204020,7800418
7204020,7203959
7204020,7203961
7203997,7203105
7203997,7203972
7203997,7203973
7203985,7203149
7203985,7203993
7203985,7204138
7203985,7204140
7203986,7203150
7203986,7203993
7203986,7204139
7203986,7204141
7203984,7203151
7203984,7203993
7203984,7203992
7203984,7204143
7203905,7203149
7203905,7203914
7203905,7203911
7203906,7203150
7203906,7203914
7203906,7203912
7203907,7203151
7203907,7203914
7203907,7203913
7204195,7203105
7204195,7209161
7204202,7204201
7204202,7215795
7204243,7800416
7204243,7204242
7204243,7204235
7204245,7800418
7204245,7204242
7204245,7204241
7204244,7800417
7204244,7204242
7204244,7204240
7202906,7203157
7202906,7203207
7202906,7203213
7202906,7204579
7202906,7204587
7205010,7203151
7205010,7205000
7205010,7203914
7205010,7203207
7205010,7203215
7205008,7203149
7205008,7203914
7205008,7204998
